,freq_pvalue,pvalue,effect_size,gene_ids,feature_types,n_counts,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,clonally_expressed,normalized_effect_size
FAM24B,878,0.8584258820705861,0.0017839408211290028,ENSG00000213185,Gene Expression,67.0,False,11,0.015516463,0.015397313,98.64532019704434,12.599368,2.6100233,63,False,0.11497084428974896
MTFMT,873,0.858512884532837,0.003914940360153177,ENSG00000103707,Gene Expression,271.0,False,38,0.04804492,0.046926446,95.32019704433498,39.012474,3.6891913,268,False,0.08148500117783743
RSPH1,863,0.8585736194405426,0.0017554783122101514,ENSG00000160188,Gene Expression,76.0,False,14,0.017487556,0.017336408,98.27586206896551,14.199896,2.7212887,76,False,0.10038442982443364
ALDH7A1,875,0.8587398402020421,0.001914907988929307,ENSG00000164904,Gene Expression,147.0,False,17,0.019210061,0.019027878,97.9064039408867,15.59857,2.8093166,142,False,0.0996825560891056
SESN3,735,0.8587478861703065,0.0008586564000085161,ENSG00000149212,Gene Expression,26.0,False,3,0.004588408,0.0045779133,99.63054187192118,3.7257872,1.5530342,25,False,0.18713602040414096
IGBP1,855,0.8587776426010292,0.01281225013204973,ENSG00000089289,Gene Expression,1641.0,False,175,0.23396444,0.21023211,78.44827586206897,189.97913,5.252164,1338,False,0.054761526821944274
RCOR1,751,0.858813146541431,0.0010249428153344302,ENSG00000089902,Gene Expression,35.0,False,3,0.00510677,0.0050937748,99.63054187192118,4.146697,1.6383551,35,False,0.20070275767113024
MIEF1,856,0.8588323692246389,0.00444369943996957,ENSG00000100335,Gene Expression,277.0,False,44,0.057189845,0.055614296,94.58128078817734,46.438152,3.8594267,266,False,0.07770084837676669
AC008555.4,868,0.8588490627364378,0.001648897409784078,ENSG00000271109,Gene Expression,70.0,False,10,0.014155173,0.014055924,98.76847290640394,11.494,2.5252485,69,False,0.11648726862840732
LIN54,877,0.8588556954471347,0.0025084357961335166,ENSG00000189308,Gene Expression,185.0,False,20,0.02495681,0.024650475,97.53694581280789,20.264929,3.0570593,178,False,0.10051107736851668
TAF1D,867,0.858866711683741,0.00907249182493211,ENSG00000166012,Gene Expression,968.0,False,103,0.13595755,0.12747596,87.31527093596058,110.39754,4.713105,842,False,0.06673032545204682
U2AF1,895,0.8588690623462296,0.0008787407829894522,ENSG00000160201,Gene Expression,22.0,False,5,0.0058753607,0.005858168,99.38423645320196,4.770793,1.7528095,22,False,0.14956371700442
TLCD5,861,0.8589532634633832,0.0009099216745900168,ENSG00000181264,Gene Expression,56.0,False,6,0.006397025,0.006376651,99.26108374384236,5.1943846,1.8236432,56,False,0.14224137735783052
MMS22L,857,0.8590006533591642,0.0012471674277028388,ENSG00000146263,Gene Expression,36.0,False,5,0.007732503,0.0077027604,99.38423645320196,6.2787924,1.984965,36,False,0.16128896541937554
CLPB,873,0.8590385604287532,0.002128096070154413,ENSG00000162129,Gene Expression,214.0,False,15,0.019646006,0.019455513,98.15270935960592,15.952557,2.8304186,207,False,0.1083220733063777
MFSD4B,874,0.8591025469549247,0.0012562526704357375,ENSG00000173214,Gene Expression,72.0,False,8,0.010119452,0.010068594,99.01477832512316,8.216995,2.221049,72,False,0.12414235997203117
BEST4,879,0.8591168343338094,0.0011686486773505155,ENSG00000142959,Gene Expression,27.0,False,5,0.007179798,0.007154146,99.38423645320196,5.829996,1.9213241,27,False,0.16276901693654228
GDAP1,770,0.8591520744594194,0.0009168532153620386,ENSG00000104381,Gene Expression,37.0,False,3,0.0042130095,0.0042041596,99.63054187192118,3.4209638,1.4863577,37,False,0.21762429360471539
ZDHHC3,860,0.8591616902650681,0.0048381752181047705,ENSG00000163812,Gene Expression,421.0,False,45,0.06312554,0.061213195,94.45812807881774,51.25794,3.9561918,392,False,0.07664370024337686
AC005037.1,860,0.8591918524091572,0.0039706422533666436,ENSG00000183308,Gene Expression,298.0,False,31,0.04625009,0.04521243,96.18226600985221,37.555073,3.6520877,284,False,0.08585155732903267
SLC49A3,842,0.8592357233884566,0.0008217552193408775,ENSG00000169026,Gene Expression,44.0,False,4,0.0047638873,0.004752576,99.50738916256158,3.8682766,1.58274,43,False,0.17249678126921975
BCL2A1,867,0.8592443289791087,0.0025760510450964225,ENSG00000140379,Gene Expression,165.0,False,21,0.027685992,0.027309665,97.41379310344827,22.481026,3.1561928,149,False,0.09304528463504157
RSPH4A,737,0.8593039318928201,0.0006975322915114684,ENSG00000111834,Gene Expression,36.0,False,3,0.0038145578,0.003807301,99.63054187192118,3.097421,1.4103577,36,False,0.18286059041988262
ZNF33A,847,0.8593798509864632,0.005681808785700279,ENSG00000189180,Gene Expression,383.0,False,57,0.07535226,0.07264829,92.98029556650246,61.18603,4.1301303,356,False,0.07540329729448017
THAP4,865,0.8593987432170227,0.005863787026631595,ENSG00000176946,Gene Expression,622.0,False,68,0.08393733,0.08060009,91.62561576354679,68.15711,4.236381,592,False,0.06985910660406301
DNAJC28,739,0.8596036752412943,0.0009059582601036965,ENSG00000177692,Gene Expression,36.0,False,3,0.0048118,0.0048002605,99.63054187192118,3.9071817,1.5906998,36,False,0.18827844966509308
CCDC153,735,0.8596342428473533,0.0006750577036705226,ENSG00000248712,Gene Expression,34.0,False,3,0.0035039224,0.003497798,99.63054187192118,2.845185,1.3468218,34,False,0.19265772234608078
RBMX2,869,0.8596855332305893,0.007403450967273628,ENSG00000134597,Gene Expression,548.0,False,86,0.11011326,0.10446205,89.4088669950739,89.41197,4.504377,524,False,0.0672348703218472
POT1-AS1,716,0.8597476559584019,0.0005358827766463467,ENSG00000224897,Gene Expression,11.0,False,3,0.00297339,0.0029689784,99.63054187192118,2.4143927,1.2279997,11,False,0.18022619589096717
IFT27,855,0.859836769495018,0.013792849529274731,ENSG00000100360,Gene Expression,1849.0,False,188,0.25759238,0.22919908,76.84729064039408,209.16501,5.3478928,1535,False,0.053545254431697206
PROCA1,724,0.8599121691376054,0.0006004345301955649,ENSG00000167525,Gene Expression,38.0,False,3,0.0033600773,0.0033544449,99.63054187192118,2.7283828,1.3159746,37,False,0.17869664337853025
AP003392.5,730,0.8599505252202386,0.0006846641370684536,ENSG00000272186,Gene Expression,19.0,False,3,0.0037020654,0.0036952298,99.63054187192118,3.006077,1.3878125,18,False,0.18494112214921585
PPP1R3F,735,0.8599910059623015,0.0013966872369361848,ENSG00000049769,Gene Expression,19.0,False,3,0.007647087,0.007617996,99.63054187192118,6.2094345,1.9753906,19,False,0.18264304582566274
LGALSL,874,0.8600047796071653,0.002111552448577636,ENSG00000119862,Gene Expression,105.0,False,16,0.020202339,0.02000098,98.0295566502463,16.404299,2.856717,101,False,0.10452019839887382
KLF7,883,0.8600269778758468,0.0016330446687672674,ENSG00000118263,Gene Expression,73.0,False,11,0.014275664,0.014174727,98.64532019704434,11.59184,2.5330489,71,False,0.11439360128747096
USP51,728,0.8600678266287427,0.0006897130949480102,ENSG00000247746,Gene Expression,33.0,False,3,0.0038442097,0.0038368397,99.63054187192118,3.1214983,1.4162167,33,False,0.1794160949287084
P3H1,871,0.8600796816002334,0.0022098100825965056,ENSG00000117385,Gene Expression,150.0,False,21,0.023908056,0.023626734,97.41379310344827,19.413342,3.0161886,147,False,0.09242951635773651
AGAP5,719,0.8601471837723267,0.0006514031271487222,ENSG00000172650,Gene Expression,37.0,False,3,0.003801409,0.0037942019,99.63054187192118,3.086744,1.4077486,36,False,0.17135834120014692
TRIM11,875,0.860416984481743,0.00205571610738068,ENSG00000154370,Gene Expression,150.0,False,18,0.020905448,0.020689927,97.78325123152709,16.975224,2.8889942,149,False,0.09833398907335952
ZNF230,871,0.8604221989890314,0.0008926725490225225,ENSG00000159882,Gene Expression,30.0,False,5,0.0059185135,0.005901068,99.38423645320196,4.805833,1.7588631,30,False,0.1508271538679024
UQCC1,868,0.8604607405095299,0.001906030051513758,ENSG00000101019,Gene Expression,89.0,False,14,0.018034752,0.017874055,98.27586206896551,14.644218,2.7501013,89,False,0.10568651030377575
WDR4,886,0.8604967817210464,0.0016704505669644272,ENSG00000160193,Gene Expression,70.0,False,11,0.014537516,0.01443286,98.64532019704434,11.804463,2.5497937,69,False,0.11490618900879893
IKBKE,869,0.8605209262562352,0.003017428837989028,ENSG00000263528,Gene Expression,193.0,False,23,0.032165892,0.031659402,97.16748768472905,26.118704,3.3002236,180,False,0.09380833581059152
TIPIN,874,0.8605448750921989,0.0014889837028112737,ENSG00000075131,Gene Expression,108.0,False,11,0.012982423,0.0128988745,98.64532019704434,10.541728,2.445969,100,False,0.11469227700819841
MAATS1,737,0.8606096397967059,0.0006783167202207962,ENSG00000183833,Gene Expression,18.0,False,3,0.0037390122,0.0037320394,99.63054187192118,3.036078,1.3952734,18,False,0.18141602352075661
RNF44,883,0.8606545389411387,0.001838407752844759,ENSG00000146083,Gene Expression,134.0,False,14,0.016573273,0.016437436,98.27586206896551,13.457498,2.6712132,133,False,0.11092605499052524
DCK,850,0.8607560574360371,0.0011678823012482003,ENSG00000156136,Gene Expression,35.0,False,5,0.007175791,0.0071501676,99.38423645320196,5.826742,1.9208475,33,False,0.16275310814721503
PSD4,862,0.8607579883869649,0.004922729082704455,ENSG00000125637,Gene Expression,345.0,False,52,0.065264784,0.06322339,93.59605911330048,52.995003,3.9888916,332,False,0.07542703424585594
EIF4G3,863,0.8608047058403425,0.004033006157364127,ENSG00000075151,Gene Expression,181.0,False,37,0.049333308,0.048155017,95.44334975369459,40.058647,3.7150016,175,False,0.08175016697007767
NSUN5,874,0.8608446589865433,0.00820497984237939,ENSG00000130305,Gene Expression,717.0,False,88,0.11705913,0.11069945,89.16256157635468,95.05201,4.56489,668,False,0.0700926112124857
TRIM5,851,0.8608699005966256,0.0025217074132361586,ENSG00000132256,Gene Expression,159.0,False,23,0.02781878,0.027438868,97.16748768472905,22.58885,3.1607742,154,False,0.09064766239444207
LRP2BP,756,0.8609837946933443,0.0005392835391691241,ENSG00000109771,Gene Expression,29.0,False,3,0.0026909113,0.0026872973,99.63054187192118,2.18502,1.1584586,29,False,0.2004092593338248
NCAPD2,878,0.8609966823889503,0.002023418292456204,ENSG00000010292,Gene Expression,134.0,False,15,0.0190206,0.01884197,98.15270935960592,15.444727,2.800005,127,False,0.10638035952896004
WSB2,735,0.8611109721716852,0.0005253257168496128,ENSG00000176871,Gene Expression,34.0,False,3,0.002745579,0.0027418167,99.63054187192118,2.2294102,1.1722995,34,False,0.19133513093405038
SNHG10,870,0.8612392541901324,0.0031885216867311994,ENSG00000247092,Gene Expression,128.0,False,24,0.035557054,0.034939498,97.04433497536947,28.872328,3.3969326,124,False,0.08967339330858737
VSIR,862,0.8613972082658627,0.019168674856658185,ENSG00000107738,Gene Expression,2746.0,False,301,0.43315712,0.3598798,62.93103448275862,351.72357,5.8656845,2047,False,0.044253399380670015
KIF27,830,0.8614682098409562,0.0009148589084019016,ENSG00000165115,Gene Expression,37.0,False,4,0.0052564917,0.0052427244,99.50738916256158,4.2682714,1.6617023,37,False,0.1740436318200651
C4orf33,873,0.8614779298139635,0.0015494675049214368,ENSG00000151470,Gene Expression,61.0,False,13,0.014743986,0.01463635,98.39901477832512,11.972116,2.562802,61,False,0.10509149602381422
MTX3,807,0.8615025936527628,0.0009179832391146316,ENSG00000177034,Gene Expression,68.0,False,4,0.0053804615,0.0053660385,99.50738916256158,4.3689346,1.6806295,68,False,0.17061422078022606
RFTN1,878,0.8615601048541301,0.001680566582941214,ENSG00000131378,Gene Expression,113.0,False,12,0.015684752,0.015563018,98.52216748768473,12.736018,2.6200213,105,False,0.10714652071266552
TM2D3,869,0.8616059331796838,0.006199979464191069,ENSG00000184277,Gene Expression,530.0,False,71,0.08928752,0.08552383,91.25615763546799,72.501465,4.297305,501,False,0.0694383661013099
FANCF,879,0.8616238538785126,0.002463780873725105,ENSG00000183161,Gene Expression,153.0,False,16,0.023134196,0.022870658,98.0295566502463,18.784967,2.9849224,151,False,0.10649952368612159
ZBTB41,883,0.8616614909347109,0.0010240857980467095,ENSG00000177888,Gene Expression,69.0,False,7,0.00784779,0.007817156,99.13793103448276,6.372405,1.997744,69,False,0.13049353263242977
DLG1,858,0.8617654557446075,0.00355309696834704,ENSG00000075711,Gene Expression,275.0,False,30,0.040440895,0.03964456,96.30541871921181,32.838005,3.5215845,262,False,0.08785900999288446
ZNF577,874,0.8618033069744684,0.001309155570847452,ENSG00000161551,Gene Expression,33.0,False,5,0.008634843,0.008597776,99.38423645320196,7.0114927,2.080877,33,False,0.15161313079150854
MYD88,875,0.8619881218666776,0.002337545444168296,ENSG00000172936,Gene Expression,178.0,False,22,0.025353154,0.025037093,97.29064039408867,20.586761,3.0720801,177,False,0.09219939376070772
MAPK8IP1,724,0.8620007894623511,0.0006158165572977417,ENSG00000121653,Gene Expression,18.0,False,3,0.0034012788,0.0033955076,99.63054187192118,2.7618384,1.3249078,18,False,0.18105442170005773
HERC2,873,0.8621477180630925,0.01123646000992845,ENSG00000128731,Gene Expression,1059.0,False,140,0.18386394,0.1687836,82.75862068965517,149.29752,5.0126166,948,False,0.06111290849652133
CMTM6,866,0.8621540175928122,0.006276638530181677,ENSG00000091317,Gene Expression,627.0,False,67,0.08409922,0.08074943,91.7487684729064,68.28857,4.23828,576,False,0.0746337321659034
SLC50A1,870,0.8623136306905286,0.018995949790995115,ENSG00000169241,Gene Expression,2974.0,False,288,0.4243469,0.3537134,64.5320197044335,344.56967,5.8451943,2079,False,0.04476514393867593
PLCL2,882,0.8624075294167732,0.001986799949562971,ENSG00000154822,Gene Expression,97.0,False,13,0.018072072,0.017910713,98.39901477832512,14.674523,2.7520366,94,False,0.10993758235188167
RBM15,883,0.8624621080203283,0.0021834009682635963,ENSG00000162775,Gene Expression,127.0,False,13,0.019107593,0.018927336,98.39901477832512,15.515366,2.8042912,123,False,0.11426875916448234
ZNF682,885,0.8626949443937961,0.0009248635753918103,ENSG00000197124,Gene Expression,48.0,False,8,0.007387245,0.007360093,99.01477832512316,5.998443,1.9456878,48,False,0.12519735925069583
TTLL12,883,0.8627267618190326,0.0007318791375651073,ENSG00000100304,Gene Expression,62.0,False,5,0.0046886364,0.004677679,99.38423645320196,3.8071728,1.5701091,62,False,0.15609637326440173
EIF4E,866,0.8627523901320215,0.008918912544036539,ENSG00000151247,Gene Expression,907.0,False,98,0.13538915,0.12697545,87.93103448275862,109.93599,4.7089534,820,False,0.06587612520990332
MAP4K5,868,0.8630754346517416,0.003316434185559436,ENSG00000012983,Gene Expression,248.0,False,30,0.036983583,0.036316097,96.30541871921181,30.030668,3.434976,242,False,0.0896731442860798
MCM2,762,0.8631637625637643,0.0005720543106285478,ENSG00000073111,Gene Expression,57.0,False,3,0.0027583155,0.0027545183,99.63054187192118,2.2397523,1.1754968,42,False,0.20739262933773153
SPACA6,738,0.8631922843195596,0.0008357548550554077,ENSG00000182310,Gene Expression,11.0,False,3,0.004505228,0.0044951094,99.63054187192118,3.658245,1.5386388,11,False,0.18550779113424684
REL,852,0.863216581790591,0.0012221146635285288,ENSG00000162924,Gene Expression,65.0,False,5,0.007417443,0.0073900693,99.38423645320196,6.022964,1.9491854,50,False,0.16476225421518742
ZNF626,872,0.8632530123916324,0.0017835146815204546,ENSG00000188171,Gene Expression,108.0,False,13,0.016522331,0.016387323,98.39901477832512,13.416133,2.6683478,106,False,0.10794570474918501
ADCK2,876,0.8633147370861192,0.002403963738411577,ENSG00000133597,Gene Expression,108.0,False,19,0.024036037,0.023751719,97.66009852216749,19.517262,3.0212665,105,False,0.1000149799229659
SELENOP,874,0.8633706654887301,0.0037539951695925305,ENSG00000250722,Gene Expression,234.0,False,27,0.041332778,0.04050141,96.67487684729063,33.562214,3.542761,189,False,0.09082368494249876
ODR4,876,0.8634393472506016,0.003561027136851469,ENSG00000157181,Gene Expression,278.0,False,35,0.041263152,0.040434547,95.6896551724138,33.50568,3.5411239,273,False,0.08630041505999222
AC083862.3,892,0.8634531318221357,0.0023925144982719707,ENSG00000287733,Gene Expression,193.0,False,18,0.024426086,0.02413254,97.78325123152709,19.833982,3.0365853,184,False,0.09794915610182632
BAALC-AS1,882,0.8635118271173305,0.001103994104324265,ENSG00000247081,Gene Expression,46.0,False,7,0.0082937665,0.008259562,99.13793103448276,6.7345386,2.0456958,45,False,0.13311130721466102
TOR4A,731,0.8635346963819345,0.0006303261827530779,ENSG00000198113,Gene Expression,42.0,False,3,0.0032767819,0.003271425,99.63054187192118,2.6607468,1.2976671,42,False,0.1923613491275296
ABHD14A,864,0.8638409667996458,0.020939145389217484,ENSG00000248487,Gene Expression,4077.0,False,350,0.53959185,0.43151736,56.896551724137936,438.1486,6.084838,2655,False,0.038805525757726195
SUPT5H,872,0.8639119054999902,0.010256401656531244,ENSG00000196235,Gene Expression,1151.0,False,130,0.17411208,0.16051218,83.99014778325123,141.37901,4.9584928,1002,False,0.05890689242549166
BCL9L,744,0.8640291161122967,0.0007373916380219231,ENSG00000186174,Gene Expression,30.0,False,3,0.0039418577,0.003934109,99.63054187192118,3.2007885,1.4352722,30,False,0.18706703541599037
FEM1A,890,0.8641390775722121,0.0014276073370660183,ENSG00000141965,Gene Expression,69.0,False,9,0.011293776,0.011230478,98.89162561576354,9.170547,2.319496,68,False,0.12640655303688167
PCDHGA10,889,0.8641574376578913,0.0015049710463888796,ENSG00000253846,Gene Expression,34.0,False,7,0.010315388,0.010262548,99.13793103448276,8.376096,2.2381635,34,False,0.14589572220030367
CCDC146,732,0.864215518558731,0.0008142172538310351,ENSG00000135205,Gene Expression,24.0,False,3,0.0043463693,0.0043369513,99.63054187192118,3.529252,1.5105568,24,False,0.18733273627346558
SH2B2,755,0.8642758959216811,0.0007125356109251215,ENSG00000160999,Gene Expression,58.0,False,3,0.0035446624,0.0035383948,99.63054187192118,2.8782659,1.3553882,58,False,0.20101649590850842
RAVER2,731,0.8642939481866387,0.0007198068080273559,ENSG00000162437,Gene Expression,29.0,False,3,0.0039144703,0.003906829,99.63054187192118,3.1785498,1.4299642,29,False,0.183883577961453
NPAT,878,0.864421491371242,0.0033963520670509256,ENSG00000149308,Gene Expression,239.0,False,32,0.038117677,0.03740915,96.05911330049261,30.951553,3.4642208,236,False,0.08910175899297643
BCAM,891,0.8645226513066094,0.0015449435680994078,ENSG00000187244,Gene Expression,53.0,False,7,0.0107551105,0.010697686,99.13793103448276,8.73315,2.2755375,46,False,0.1436473910236603
PCBP4,869,0.8646637359958037,0.003265397361298071,ENSG00000090097,Gene Expression,219.0,False,29,0.036156695,0.03551838,96.42857142857143,29.359238,3.413101,215,False,0.09031238421940302
AC012306.2,880,0.86468200102137,0.0007025552021866291,ENSG00000272667,Gene Expression,16.0,False,3,0.0037328051,0.0037258556,99.63054187192118,3.0310378,1.3940239,16,False,0.18821105730878385
TOMM5,876,0.864734843861701,0.02207619717938991,ENSG00000175768,Gene Expression,5020.0,False,441,0.7089937,0.5359047,45.689655172413794,575.7029,6.357327,3187,False,0.03113736837152733
HGH1,901,0.8649410240290378,0.0010356790435379938,ENSG00000235173,Gene Expression,36.0,False,6,0.0069584283,0.0069343303,99.26108374384236,5.6502438,1.8946536,36,False,0.14883807063831098
IRF5,864,0.8649558897590288,0.004777775408768628,ENSG00000128604,Gene Expression,388.0,False,50,0.06206898,0.060218874,93.8423645320197,50.400013,3.9396384,370,False,0.07697525228158382
ST3GAL5-AS1,762,0.8650122495351815,0.0007920911071987455,ENSG00000232504,Gene Expression,12.0,False,3,0.0041193045,0.0041108434,99.63054187192118,3.3448753,1.4689971,12,False,0.19228758449709202
CCDC191,893,0.8650286232797335,0.0016806325308670149,ENSG00000163617,Gene Expression,131.0,False,10,0.013780964,0.013686869,98.76847290640394,11.190143,2.5006275,123,False,0.12195319418717511
ZNF709,731,0.8650355913644465,0.0006257879387909651,ENSG00000242852,Gene Expression,22.0,False,3,0.0034267246,0.0034208668,99.63054187192118,2.7825003,1.3303852,22,False,0.1826198529616743
ZNF442,738,0.8650528784194598,0.0007201470299940498,ENSG00000198342,Gene Expression,19.0,False,3,0.0039125113,0.0039048772,99.63054187192118,3.1769593,1.4295835,19,False,0.184062607913254
MPZL1,871,0.865256593546663,0.006054634050165583,ENSG00000197965,Gene Expression,495.0,False,66,0.08104961,0.07793243,91.87192118226602,65.81229,4.201887,465,False,0.07470281198337263
AC132192.2,893,0.8653105607320895,0.0026121584096297085,ENSG00000268403,Gene Expression,133.0,False,17,0.025339507,0.025023784,97.9064039408867,20.57568,3.0715668,131,False,0.10308639605005476
LRRC40,880,0.8654246674157572,0.0008808379979173553,ENSG00000066557,Gene Expression,65.0,False,6,0.006194513,0.006175406,99.26108374384236,5.0299444,1.7967378,65,False,0.1421964927245191
NUP160,880,0.8655204510378176,0.0021633733140626506,ENSG00000030066,Gene Expression,156.0,False,16,0.020571468,0.020362733,98.0295566502463,16.704033,2.8737924,154,False,0.10516377694630737
AC139887.4,726,0.8655275355200047,0.0006992940913519274,ENSG00000272588,Gene Expression,17.0,False,3,0.0037302296,0.0037232896,99.63054187192118,3.0289464,1.3935049,17,False,0.18746677078544513
APOL2,877,0.8655404170699668,0.004623706124754642,ENSG00000128335,Gene Expression,272.0,False,46,0.057805564,0.05619654,94.33497536945814,46.938118,3.869911,270,False,0.07998721549358312
COL6A1,899,0.865556034985518,0.0007587890427236304,ENSG00000142156,Gene Expression,86.0,False,5,0.0048115575,0.004800019,99.38423645320196,3.9069848,1.5906596,85,False,0.15770133612470974
NR1H2,862,0.8656421849261887,0.013514496482423033,ENSG00000131408,Gene Expression,1542.0,False,178,0.23993422,0.21505833,78.07881773399015,194.82658,5.2772293,1304,False,0.056325839770427266
PFKFB4,753,0.8657111434680971,0.0006201186505548836,ENSG00000114268,Gene Expression,23.0,False,3,0.0032879566,0.003282563,99.63054187192118,2.6698208,1.3001429,21,False,0.18860305319307774
KDM8,876,0.8657359366603925,0.0015310711328553085,ENSG00000155666,Gene Expression,41.0,False,9,0.011889499,0.011819374,98.89162561576354,9.654273,2.365961,41,False,0.12877507908083008
ACRBP,867,0.8658424766399193,0.0035518020347687015,ENSG00000111644,Gene Expression,208.0,False,26,0.038579974,0.03785437,96.79802955665025,31.326939,3.475901,141,False,0.09206335921805392
NFU1,860,0.8658946776650611,0.00713152799852812,ENSG00000169599,Gene Expression,532.0,False,79,0.098743536,0.094167285,90.27093596059113,80.17975,4.3966656,504,False,0.07222273292894832
AC002310.1,882,0.8660532794434976,0.0012630177892451744,ENSG00000235560,Gene Expression,36.0,False,8,0.010003973,0.009954264,99.01477832512316,8.123226,2.2108235,36,False,0.12625162169810256
ZNF551,749,0.8661510818987272,0.000555385274295668,ENSG00000204519,Gene Expression,31.0,False,3,0.002825757,0.0028217721,99.63054187192118,2.2945147,1.1922588,31,False,0.19654388887139307
LMCD1,872,0.8662271421126978,0.0010333311814202332,ENSG00000071282,Gene Expression,61.0,False,6,0.0071221245,0.007096882,99.26108374384236,5.783165,1.9144439,61,False,0.14508749107815064
TET2,874,0.8662318480517559,0.0027925231559370878,ENSG00000168769,Gene Expression,114.0,False,21,0.02792314,0.027540399,97.41379310344827,22.67359,3.16436,112,False,0.10000748799916795
DISP1,820,0.8662893477580133,0.0007207107134410053,ENSG00000154309,Gene Expression,17.0,False,3,0.0036712175,0.003664495,99.63054187192118,2.9810286,1.3815402,16,False,0.19631381632012168
RNF207,882,0.86647879422622,0.0015056276150599637,ENSG00000158286,Gene Expression,82.0,False,12,0.013279972,0.013192566,98.52216748768473,10.783337,2.4666862,81,False,0.11337581531464046
CAMK2G,874,0.8665198569426249,0.0026969910858904225,ENSG00000148660,Gene Expression,217.0,False,23,0.027144456,0.02678258,97.16748768472905,22.041298,3.137288,212,False,0.09935697579815628
LAMTOR5,869,0.8665386700660851,0.018246158649075916,ENSG00000134248,Gene Expression,2746.0,False,268,0.37980446,0.3219418,66.99507389162562,308.4012,5.7346387,2113,False,0.048040927543749355
TRPV3,877,0.8665421958854551,0.0026319083398883975,ENSG00000167723,Gene Expression,90.0,False,19,0.026350513,0.02600932,97.66009852216749,21.396616,3.1089098,88,False,0.09988072451712765
CDHR3,890,0.8666256633767542,0.002001570874457813,ENSG00000128536,Gene Expression,128.0,False,16,0.018947829,0.018770555,98.0295566502463,15.385636,2.796405,125,False,0.1056358974331483
CCDC157,766,0.8666372977777426,0.0010225992033944115,ENSG00000187860,Gene Expression,34.0,False,3,0.005153244,0.005140011,99.63054187192118,4.184434,1.6456606,33,False,0.19843795948869183
STX8,866,0.8666417486593063,0.007993180635756658,ENSG00000170310,Gene Expression,765.0,False,94,0.120459825,0.11373916,88.42364532019704,97.81338,4.593233,716,False,0.06635557248232073
HNRNPA1L2,811,0.8666545571227993,0.0010653060227496097,ENSG00000139675,Gene Expression,12.0,False,4,0.0058022086,0.0057854406,99.50738916256158,4.7113934,1.742463,12,False,0.18360353857520015
ZGRF1,753,0.8667067282184463,0.0008318932871069678,ENSG00000138658,Gene Expression,26.0,False,3,0.004332023,0.004322667,99.63054187192118,3.517603,1.5079815,26,False,0.1920334327258144
AC006008.1,756,0.8668832639442893,0.000668346151218727,ENSG00000286912,Gene Expression,19.0,False,3,0.0034744006,0.003468379,99.63054187192118,2.8212132,1.340568,19,False,0.1923630075899736
THAP3,866,0.8668871220381471,0.0034465760297676604,ENSG00000041988,Gene Expression,286.0,False,34,0.039647028,0.03888126,95.8128078817734,32.193386,3.5023506,271,False,0.08693151080061423
FCGR3A,748,0.8668982957148721,0.0008480254884968858,ENSG00000203747,Gene Expression,39.0,False,3,0.0043418473,0.004332449,99.63054187192118,3.52558,1.5097457,27,False,0.19531444499890652
POLE,887,0.8669570230407568,0.001103424653974814,ENSG00000177084,Gene Expression,56.0,False,7,0.008245255,0.008211449,99.13793103448276,6.695147,2.0405898,53,False,0.13382541495723171
ZNF780B,858,0.8670814326210771,0.0012601047317472736,ENSG00000128000,Gene Expression,91.0,False,6,0.008770854,0.008732614,99.26108374384236,7.121934,2.0945683,91,False,0.14366955615039875
TIA1,874,0.8670818368499086,0.004130430722196224,ENSG00000116001,Gene Expression,351.0,False,37,0.048289474,0.047159765,95.44334975369459,39.211052,3.6941419,335,False,0.08553480441003516
DYNC1I1,745,0.8670988583869506,0.0004898563037631239,ENSG00000158560,Gene Expression,11.0,False,3,0.0024855414,0.0024824576,99.63054187192118,2.0182595,1.1046803,11,False,0.1970823358442084
DBT,866,0.8671376017100962,0.001113530047141929,ENSG00000137992,Gene Expression,43.0,False,6,0.0077443286,0.007714495,99.26108374384236,6.288395,1.9862833,42,False,0.14378651873933337
VIRMA,871,0.8671380106300546,0.0034204773261584318,ENSG00000164944,Gene Expression,318.0,False,30,0.03792561,0.037224114,96.30541871921181,30.795595,3.4593277,304,False,0.09018912195211307
FAM122B,869,0.8673703919014144,0.0027251849011660015,ENSG00000156504,Gene Expression,163.0,False,21,0.027664633,0.027288882,97.41379310344827,22.463682,3.1554537,159,False,0.09850789833664703
RNASE1,759,0.8673727852707644,0.0007996481398357957,ENSG00000129538,Gene Expression,26.0,False,3,0.0041778097,0.004169107,99.63054187192118,3.3923814,1.4798715,20,False,0.19140367767135888
FAM168A,900,0.8673936850518095,0.0014288385467904584,ENSG00000054965,Gene Expression,32.0,False,9,0.011290982,0.011227715,98.89162561576354,9.168278,2.3192728,32,False,0.1265468761285671
FZD2,922,0.8674986062248231,0.0006137277687526055,ENSG00000180340,Gene Expression,44.0,False,3,0.0033585406,0.0033529133,99.63054187192118,2.727135,1.3156399,43,False,0.18273644523582278
ZNF19,805,0.8676171538983903,0.0009931242798441754,ENSG00000157429,Gene Expression,25.0,False,4,0.0055230805,0.005507884,99.50738916256158,4.484741,1.7019699,25,False,0.1798134727343516
